	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_11121	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_11122	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_11503	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_11908	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_12322	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_13134	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_13160	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_14133	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_14694	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_14708	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_14737	Bacteria	Bacteria_X	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	A7P90m	A7P90m_sp.
ASV_11262	Eukaryota	Opisthokonta	Mesomycetozoa	Ichthyosporea	Ichthyosphonida	Abeoformidae_Group_MAIP_2	Abeoformidae_Group_MAIP_2_X	Abeoformidae_Group_MAIP_2_X_sp.
ASV_12744	Eukaryota	Opisthokonta	Mesomycetozoa	Ichthyosporea	Ichthyosphonida	Abeoformidae_Group_MAIP_2	Abeoformidae_Group_MAIP_2_X	Abeoformidae_Group_MAIP_2_X_sp.
ASV_3339	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Hexapoda	Insecta	Ablabesmyia	Ablabesmyia_rhamphe
ASV_10303	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystidae	Acanthocystis	Acanthocystis_sp.
ASV_14808	Eukaryota	Opisthokonta	Fungi	Zoopagomycota	Zoopagomycotina	Zoopagomycotina_X	Acaulopage	Acaulopage_tetraceros
ASV_1880	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Dasycladales	Dasycladales_X	Acetabularia	Acetabularia_calyculus
ASV_761	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Dasycladales	Dasycladales_X	Acetabularia	Acetabularia_peniculus
ASV_858	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Dasycladales	Dasycladales_X	Acetabularia	Acetabularia_peniculus
ASV_10206	Bacteria	Bacteria_X	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio	Acetivibrio_sp.
ASV_5560	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_X	Acetobacteraceae_X_sp.
